Gene_ID	GO_Terms
AT1G08420	['GO:0005515', 'GO:0017018']
AT1G08430	['GO:0015140']
AT1G08450	['GO:0005509', 'GO:0051082']
AT1G08460	['GO:0004407', 'GO:0008270']
AT1G08465	['GO:0000976', 'GO:0003700']
AT1G08480	['GO:0043495']
AT1G08490	['GO:0009000', 'GO:0030170', 'GO:0031071']
AT1G08500	['GO:0009055']
AT1G08510	['GO:0000036', 'GO:0016297']
AT1G08520	['GO:0016851', 'GO:0016887']
AT1G08540	['GO:0016987']
AT1G08550	['GO:0005515', 'GO:0046422']
AT1G08560	['GO:0005484', 'GO:0005515']
AT1G08570	['GO:0016671']
AT1G08590	['GO:0004674', 'GO:0005515', 'GO:0016301']
AT1G08600	['GO:0016887', 'GO:0042393', 'GO:0140658', 'GO:0140713']
AT1G08620	['GO:0005515', 'GO:0032183', 'GO:0032454', 'GO:0034647']
AT1G08630	['GO:0004793', 'GO:0016829']
AT1G08640	['GO:0005515']
AT1G08650	['GO:0004674']
AT1G08660	['GO:0008373', 'GO:0016757']
AT1G08680	['GO:0004674']
AT1G08700	['GO:0042500']
AT1G08710	['GO:0005515']
AT1G08720	['GO:0004709', 'GO:0004712', 'GO:0005515', 'GO:0016301']
AT1G08730	['GO:0000146', 'GO:0003774']
AT1G08750	['GO:0003923']
AT1G08760	['GO:0008017']
AT1G08780	['GO:0005515', 'GO:0051082', 'GO:0051879']
AT1G08800	['GO:0017022', 'GO:0080115']
AT1G08810	['GO:0000976', 'GO:0003700']
AT1G08830	['GO:0004784', 'GO:0005507', 'GO:0005515']
AT1G08840	['GO:0017116']
AT1G08845	['GO:0003735']
AT1G08860	['GO:0005544']
AT1G08870	['GO:0030533']
AT1G08880	['GO:0030527', 'GO:0046982']
AT1G08890	['GO:0015144', 'GO:0051119']
AT1G08900	['GO:0015144', 'GO:0051119']
AT1G08910	['GO:0005515', 'GO:0008270', 'GO:0019789']
AT1G08920	['GO:0015144', 'GO:0015145', 'GO:0051119']
AT1G08930	['GO:0015144', 'GO:0051119']
AT1G08940	['GO:0003824']
AT1G08950	['GO:0030533']
AT1G08960	['GO:0005432', 'GO:0015079', 'GO:0015081']
AT1G08970	['GO:0000976', 'GO:0003700', 'GO:0005515', 'GO:0043565', 'GO:0046982']
AT1G08980	['GO:0004040', 'GO:0016810', 'GO:0043864']
AT1G08990	['GO:0016757']
AT1G09000	['GO:0004672', 'GO:0004674', 'GO:0004709']
AT1G09010	['GO:0033947']
AT1G09020	['GO:0004674', 'GO:0005515', 'GO:0008047', 'GO:0019887', 'GO:0019900', 'GO:0030295', 'GO:1901982']
AT1G09030	['GO:0001228', 'GO:0003700', 'GO:0005515', 'GO:0043565', 'GO:0046982']
AT1G09050	['GO:0005515']
AT1G09060	['GO:0000976', 'GO:0005515', 'GO:0031624', 'GO:0042393', 'GO:0042803', 'GO:0061630']
AT1G09070	['GO:0005515']
