COMP_GENE_A	COMP_GENE_B
AT3G16770	AT2G43235
AT3G16770	AT1G03650
AT3G16770	AT5G48545
AT3G16770	AT4G18465
AT3G16770	AT5G06590
AT3G16770	AT3G28970
AT3G16770	AT4G10340
AT3G16770	AT2G35900
AT3G16770	AT1G56570
AT3G05620	AT1G79380
AT3G05620	AT3G63200
AT3G05620	AT1G79760
AT4G33220	AT5G22750
AT4G33220	AT3G22290
AT4G33220	AT5G63290
AT1G11370	AT1G65560
AT1G11370	AT4G33450
AT1G11370	AT4G13890
AT1G11370	AT5G57170
AT1G11370	AT1G47720
AT1G11370	AT5G19400
AT1G11370	AT1G16040
AT1G11370	AT2G26270
AT1G11370	AT5G18580
AT1G11370	AT3G13940
AT1G11370	AT1G74130
AT1G11370	AT3G46610
AT1G11370	AT4G11790
AT1G11370	AT2G35820
AT1G11370	AT1G67680
AT1G11370	AT3G06790
AT1G11370	AT4G23330
AT1G11370	AT1G07745
AT1G11370	AT4G00300
AT1G11370	AT1G47840
AT2G26440	AT5G10510
AT2G26440	AT3G13850
AT2G26440	AT4G17940
AT2G26440	AT4G26620
AT3G49220	AT3G21670
AT3G49220	AT2G23070
AT3G49220	AT1G16880
AT3G49220	AT2G37420
AT3G49220	AT5G59520
AT3G49220	AT5G43530
AT3G49220	AT5G60730
AT3G49220	AT1G32060
AT3G49220	AT4G05530
AT3G49220	AT4G21820
AT3G49220	AT5G60700
AT3G49220	AT3G54130
AT3G49220	AT1G60490
AT3G49220	AT3G28210
AT3G49220	AT5G49970
AT3G49220	AT1G06440
AT3G49220	AT3G18890
AT3G49220	AT5G11550
AT3G49220	AT1G09157
AT3G49220	AT3G04550
AT3G49220	AT2G15020
AT3G49220	AT5G03910
AT3G49220	AT2G47450
AT3G49220	AT5G45120
AT3G59010	AT3G54850
AT3G59010	AT5G04250
AT3G59010	AT1G71160
AT3G59010	AT3G19460
AT3G59010	AT1G71180
AT3G59010	AT2G45720
AT3G59010	AT5G41050
AT3G59010	AT4G34490
AT3G59010	AT2G45790
AT3G59010	AT3G48460
AT3G59010	AT3G24740
AT3G59010	AT3G19720
AT3G59010	AT3G08780
AT3G59010	AT3G52905
AT3G59010	AT1G09740
AT3G59010	AT3G09150
AT3G59010	AT4G29490
AT3G59010	AT1G05385
AT3G59010	AT2G35900
AT3G03220	AT3G57830
AT3G03220	AT1G05960
AT3G03220	AT4G17090
AT3G03220	AT4G30350
AT3G03220	AT4G28890
AT3G03220	AT4G03210
AT3G03220	AT2G32810
AT3G03220	AT1G06110
AT3G03220	AT4G10130
AT3G03220	AT5G23730
AT3G03220	AT5G03110
AT3G03220	AT1G73930
AT3G03220	AT5G02820
AT3G03220	AT1G20300
AT3G03220	AT3G10210
AT3G03220	AT5G48170
AT4G38210	AT4G30350
AT4G38210	AT3G17900
AT2G40610	AT1G70190
AT2G40610	AT5G25080
AT2G40610	AT1G32220
AT5G62940	AT1G73190
AT5G62940	AT1G08820
AT5G62940	AT3G46110
AT5G62940	AT1G29890
AT5G62940	AT5G61440
AT5G62940	AT1G75500
AT5G62940	AT4G35060
AT5G62940	AT3G19270
AT5G62940	AT1G48605
AT5G62940	AT1G66750
AT5G62940	AT4G27030
AT5G62940	AT5G15440
AT5G62940	AT5G55130
AT5G62940	AT5G51410
AT5G62940	AT4G13400
AT5G62940	AT4G32650
AT5G62940	AT4G06599
AT5G62940	AT5G64330
AT5G62940	AT5G64470
AT5G62940	AT2G21370
AT5G62940	AT5G66240
AT5G62940	AT3G09925
